model,accuracy,precision,recall,f1,roc_auc,cv_mean_acc,cv_std_acc
GaussianNB,0.5375,0.5333333333333333,0.6,0.5647058823529412,0.613125,0.5453481012658228,0.04319053377743197
DecisionTree,0.6625,0.6382978723404256,0.75,0.6896551724137931,0.6624999999999999,0.6634810126582279,0.028261708419598852
KNN,0.675,0.675,0.675,0.675,0.7528125000000001,0.6910443037974684,0.02464651555595296
LDA,0.6375,0.6170212765957447,0.725,0.6666666666666666,0.66,0.590379746835443,0.026783333990575107
