,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max,skew,kurtosis
Date,398,370,2022-04-01,2,2021-04-01,2022-04-29,,,,,,,,,
AvgTemperture,398.0,,,,,,81.84648241206031,13.613096568185837,51.1,70.85,85.05,93.4,102.7,-0.5287077546612675,-0.9039297920662488
AverageDew(point via humidity),398.0,,,,,,36.754020100502515,8.90683497314785,15.3,29.625,37.25,44.0,63.9,0.0013327137180603424,-0.6678006180823908
Humidity,398.0,,,,,,22.968090452261304,9.75659755450968,7.4,15.625,20.5,28.975,47.7,0.7310284882164281,-0.4141965961238694
Wind,398.0,,,,,,10.146733668341708,2.5091523922188244,4.4,8.3,10.1,12.0,17.1,0.22322445578515926,-0.18297914261113224
Pressure,398.0,,,,,,29.18304020100502,0.14024107847793627,28.9,29.1,29.2,29.3,29.6,0.4486761802145791,-0.6338234404078968
Solar(PV),398.0,,,,,,24.37525843500251,7.507560567384342,8.581428571,17.6877142875,23.476,31.729571432500002,40.03885714,0.10851416505173188,-1.288023789739082
